user,party1,party2
1084450777748459520,FdI,PD
823182867773669376,FdI,Az-Iv
737393216077627392,FdI,PD
407747764,FdI,NM;FI;FdI;PD;L
1300916262369984512,FdI,PD
1525040380969992192,FdI,PD;AVS
441973402,FdI,PD
1545261000622063616,FdI,
822184940,FdI,PD;AVS
959569726979616768,FdI,
1150467950723444736,FdI,NM;FI;FdI;PD;L
3030533474,FdI,PD
483344064,FdI,Az-Iv
1033280112714756096,FdI,PD;AVS
14073125,FdI,PD
391485689,FdI,PD
25676606,FdI,PD
1429710335515181056,FdI,PD
1138038249182683136,FdI,PD
3435148533,FdI,PD
113410319,FdI,PD
1463877868929302528,FdI,PD
270050737,FdI,PD
1372596200,FdI,Az-Iv
300888596,FdI,PD
627367368,FdI,
23364501,FdI,PD
504987991,FdI,PD
447139063,FdI,PD
2463100707,FdI,FdI;M5s
420635476,FdI,PD;AVS
48971201,FdI,Az-Iv
46224994,FdI,PD
331617619,FdI,NM;FI;FdI;PD;L
3613396888,FdI,PD
1101531482508722176,FdI,PD
138736601,FdI,NM;FI;FdI;PD;L
25508589,FdI,NM;FI;FdI;PD;L
1186406702,FdI,
399314100,FdI,PD
49954018,FdI,Az-Iv
786276460080209920,FdI,PD
2289505911,FdI,PD
43891997,FdI,
2496213907,FdI,
1214246351464062976,FdI,
1857528240,FdI,NM;FI;FdI;PD;L
132880191,FdI,NM;FI;FdI;PD;L
1482632439486898176,FdI,FdI;M5s
4560243317,FdI,PD;AVS
70971449,FdI,PD
837278820088623104,FdI,
860927713368035328,FdI,PD
1219891410830270464,FdI,Az-Iv
295090952,FdI,PD
150725695,FdI,PD
14060262,FdI,PD
491327107,FdI,Az-Iv
428469345,FdI,
1459430522,FdI,
2801547296,FdI,Az-Iv
446090752,FdI,PD
1150384973922349056,FdI,PD
88301856,FdI,Az-Iv
1033267486500769792,FdI,PD;AVS
789536032819650560,FdI,PD;AVS
3357339153,FdI,PD;AVS
133790890,FdI,PD
1015989050,FdI,
460030420,FdI,Az-Iv
416476798,FdI,PD
988825008,FdI,PD;AVS
35525950,FdI,PD
1101050610466590720,FdI,PD
3293203413,FdI,NM;FI;FdI;PD;L
2297565537,FdI,PD
948578516982956032,FdI,FdI;M5s
2280648054,FdI,PD
422209080,FdI,Az-Iv
431976775,FdI,PD
735980645273489408,FdI,
1038177516,FdI,
501620760,FdI,NM;FI;FdI;PD;L
4328992043,FdI,Az-Iv
61141361,FdI,PD
725882047,FdI,Az-Iv
213254229,FdI,PD;AVS
404994604,FdI,Az-Iv
460504033,FdI,PD
251130873,FdI,NM;FI;FdI;PD;L
396778217,FdI,PD
510786998,FdI,PD
1168612912056999936,FdI,PD
828717014,FdI,PD
87467449,FdI,NM;FI;FdI;PD;L
1262417935,FdI,
1200853862967660544,FdI,
1287068107643719680,FdI,
140412189,FdI,Az-Iv
27606361,FdI,
22651555,FdI,PD;AVS
1244199163648147456,FdI,Az-Iv
1013879910,FdI,
2388790596,FdI,
317769975,FdI,PD
958633201,FdI,PD;AVS
1023972842948452352,FdI,NM;FI;FdI;PD;L
734626206,FdI,PD
2162983644,FdI,PD
365462238,FdI,PD
1037049997,FdI,FdI;M5s
4344764241,FdI,PD
499561762,FdI,PD
2346923772,FdI,PD;AVS
395218906,FdI,PD
1595717454,FdI,PD;AVS
1885687531,FdI,PD
275741325,FdI,Az-Iv
2157554042,FdI,PD;AVS
632742781,FdI,PD
1216148624243118080,FdI,Az-Iv
4697142235,FdI,
58052287,FdI,PD
15735970,FdI,PD
1025012509,FdI,Az-Iv
985232360,FdI,
1307390346,FdI,FdI;M5s
2429285868,FdI,PD
3241806322,FdI,PD;AVS
466348695,FdI,Az-Iv
237256441,FdI,Az-Iv
1652843454,FdI,PD;AVS
986268867839385600,FdI,PD
882553959516446720,FdI,Az-Iv
389131517,FdI,PD;AVS
85129926,FdI,
1478623479197011968,FdI,PD
494111063,FdI,NM;FI;FdI;PD;L
452343838,FdI,PD
377596180,FdI,PD;AVS
402894474,FdI,PD
1961251566,FdI,Az-Iv
2194037379,FdI,PD;AVS
2858584827,FdI,PD
1426567311809515520,FdI,PD
3550261402,FdI,PD
4528167203,FdI,PD;AVS
1266404090935992320,FdI,PD
261910864,FdI,PD
404064077,FdI,PD
955521362,FdI,Az-Iv
372273460,FdI,PD;AVS
1081290202465947648,FdI,PD
947262590,FdI,Az-Iv
479423459,FdI,
1163020839605985280,FdI,PD
517721087,FdI,PD
908731428124397568,FdI,PD;AVS
1103360481341902848,FdI,NM;FI;FdI;PD;L
169566296,FdI,PD;AVS
472966889,FdI,PD
2324434960,FdI,
3401430430,FdI,FdI;M5s
393392832,FdI,PD;AVS
826707133311942656,FdI,PD;AVS
844860175206920192,FdI,PD
36079217,FdI,PD
1242779555527614464,FdI,PD
113981849,FdI,PD;AVS
121424128,FdI,PD
3676549834,FdI,PD
770421866,FdI,PD
1247360977,FdI,PD
1023465239478710272,FdI,Az-Iv
905720262343229440,FdI,
56957289,FdI,
1205122244114100224,FdI,PD;AVS
1191459938297667584,FdI,FdI;M5s
3303962619,FdI,
3124013698,FdI,PD
2236327369,FdI,FdI;M5s
5893702,FdI,PD;AVS
490572326,FdI,Az-Iv
144213581,FdI,PD;AVS
2234847558,FdI,PD;AVS
811304628348481536,FdI,NM;FI;FdI;PD;L
171981193,FdI,
412936122,FdI,
1407292613871476736,FdI,PD
896687238410629120,FdI,PD;AVS
1546056905876971520,FdI,PD;AVS
440756482,FdI,PD
423048951,FdI,PD
48042769,FdI,FdI;M5s
72248630,FdI,PD
392589825,FdI,PD;AVS
388284615,FdI,PD
1519983942195163136,FdI,PD
1450283846,FdI,PD;AVS
249854492,FdI,FdI;M5s
938867301650231296,FdI,PD
760915205064892416,FdI,FdI;M5s
454423746,FdI,PD
875891372,FdI,PD
1142667001,FdI,Az-Iv
1234855806631399424,FdI,PD
2375869364,FdI,Az-Iv
29416653,FdI,PD;AVS
1634399438,FdI,NM;FI;FdI;PD;L
2825360812,FdI,PD;AVS
344093432,FdI,
1004967978386026496,FdI,PD
820489519,FdI,NM;FI;FdI;PD;L
781596242686148608,FdI,PD
866705939172347904,FdI,Az-Iv
1341462944,FdI,PD
1323186403614875648,FdI,PD
18935802,FdI,PD
1275047630,FdI,PD
210787486,FdI,PD
3308422191,FdI,NM;FI;FdI;PD;L
2184687847,FdI,PD
452380586,FdI,FdI;M5s
1276146338753843200,FdI,FdI;M5s
860015294,FdI,PD
274915400,FdI,PD
385408308,FdI,PD
515738303,FdI,NM;FI;FdI;PD;L
223215480,FdI,PD
1440784603,FdI,FdI;M5s
441948165,FdI,PD;AVS
436239851,FdI,PD
713663420827049984,FdI,
534826529,FdI,Az-Iv
1326282364763447296,FdI,PD
1287748171364433920,FdI,
948551126076489728,FdI,
543774554,FdI,PD;AVS
890577630327705600,FdI,PD
957743786628665344,FdI,PD
46884625,FdI,PD
1728932216,FdI,PD
482875004,FdI,
1420532982,FdI,PD
3017653138,FdI,FdI;M5s
1286271669028429824,FdI,Az-Iv
1290097460,FdI,PD
1704888342,M5s,
36353564,M5s,FdI;M5s
919830836253483008,M5s,FdI;M5s
1238596208,M5s,FdI;M5s
3109897131,M5s,FdI;M5s
81845003,M5s,FdI;M5s
801131959,M5s,FdI;M5s
131292189,M5s,FdI;M5s
1283871669732487168,M5s,FdI;M5s
1092670394,M5s,FdI;M5s
941819492367323136,M5s,FdI;M5s
250744829,M5s,FdI;M5s
523757170,M5s,FdI;M5s
3719734875,M5s,FdI;M5s
328486212,M5s,
13727692,M5s,FdI;M5s
2951279819,M5s,FdI;M5s
913060864223309824,M5s,FdI;M5s
1926516720,M5s,FdI;M5s
211226743,M5s,FdI;M5s
61162279,M5s,FdI;M5s
52424550,M5s,FdI;M5s
1876212612,M5s,FdI;M5s
594465880,M5s,PD
3937406775,M5s,FdI;M5s
1343135374059692032,M5s,FdI;M5s
292487530,M5s,PD;AVS
391479731,M5s,FdI;M5s
964488151,M5s,
1551304608143769600,M5s,FdI;M5s
496343408,M5s,FdI;M5s
392697789,M5s,FdI;M5s
897077656507863040,M5s,FdI;M5s
2706476465,M5s,FdI;M5s
3004002945,M5s,FdI;M5s
812774677,M5s,FdI;M5s
2546652284,M5s,FdI;M5s
3224143481,M5s,FdI;M5s
784331797496631296,M5s,FdI;M5s
22064540,M5s,FdI;M5s
1003993784718278656,M5s,FdI;M5s
1345376815381151744,M5s,FdI;M5s
2163541074,M5s,FdI;M5s
976995883,M5s,FdI;M5s
1879973286,M5s,FdI;M5s
1464791904,M5s,FdI;M5s
423327600,M5s,FdI;M5s
1147667791,M5s,FdI;M5s
925374824,M5s,FdI;M5s
1383140323157762048,M5s,FdI;M5s
1483526293375406080,M5s,FdI;M5s
1440962359,M5s,FdI;M5s
1918640804,M5s,FdI;M5s
1547970411295490048,M5s,FdI;M5s
1459703156,M5s,FdI;M5s
1154012262,M5s,FdI;M5s
388362333,M5s,FdI;M5s
869967604500365312,M5s,FdI;M5s
1926324451,M5s,FdI;M5s
4718813440,M5s,FdI;M5s
50221410,M5s,FdI;M5s
1074329685532835840,M5s,FdI;M5s
494305391,M5s,FdI;M5s
1111697667946659840,M5s,FdI;M5s
414855494,M5s,FdI;M5s
1452354790500012032,M5s,
1314132968,M5s,FdI;M5s
1369086320,M5s,FdI;M5s
1001950439569584128,M5s,FdI;M5s
132133028,M5s,PD
1488553991390773248,M5s,FdI;M5s
452318028,M5s,FdI;M5s
714896919349346304,M5s,FdI;M5s
356042866,M5s,FdI;M5s
2386237696,M5s,FdI;M5s
350256698,M5s,FdI;M5s
2418608285,M5s,FdI;M5s
58016005,M5s,PD
1027161292354854912,M5s,
1421791426292109312,M5s,FdI;M5s
907586773806710784,M5s,
62019002,M5s,FdI;M5s
1521812984506560512,M5s,
892382794810363904,M5s,FdI;M5s
1172654034278371328,M5s,
537389666,M5s,FdI;M5s
1092098053497081856,M5s,PD;AVS
1316898097,M5s,
2385290202,M5s,FdI;M5s
811341705165340672,M5s,FdI;M5s
1294595622,M5s,FdI;M5s
2403776046,M5s,FdI;M5s
137337075,M5s,FdI;M5s
2567298888,M5s,FdI;M5s
1339896049,M5s,FdI;M5s
719545452,M5s,FdI;M5s
257308016,M5s,FdI;M5s
722726514832326656,M5s,FdI;M5s
1334612474,M5s,FdI;M5s
722684492,M5s,PD;AVS
1344037808244191232,M5s,FdI;M5s
551313574,M5s,PD
53306660,M5s,FdI;M5s
62486236,M5s,PD;AVS
2523336293,M5s,FdI;M5s
