user,party1,party2
1401427332657713152,FdI,PD;AVS
1224753522,FdI,PD;AVS
407747764,FdI,FdI;FI
1300916262369984512,FdI,FdI;Az-Iv
1525040380969992192,FdI,PD;Az-Iv
441973402,FdI,FdI;Az-Iv
1073496504378290176,FdI,
1545261000622063616,FdI,L;FdI
822184940,FdI,M5s
1162015389288714240,FdI,FdI;Az-Iv
124836934,FdI,FdI;Az-Iv
959569726979616768,FdI,FdI;Az-Iv
1150467950723444736,FdI,FdI;FI
3030533474,FdI,PD;AVS
1006227546952949760,FdI,FdI;Az-Iv
14073125,FdI,FdI;Az-Iv
391485689,FdI,FdI;Az-Iv
25676606,FdI,PD;AVS
1429710335515181056,FdI,FdI;Az-Iv
3435148533,FdI,FdI;Az-Iv
113410319,FdI,PD;AVS
270050737,FdI,PD;AVS
1372596200,FdI,PD;AVS
300888596,FdI,FdI;Az-Iv
627367368,FdI,FdI;Az-Iv
456172613,FdI,FdI;Az-Iv
23364501,FdI,PD;AVS
504987991,FdI,FdI;Az-Iv
447139063,FdI,FdI;Az-Iv
223881169,FdI,M5s
420635476,FdI,PD;AVS
48971201,FdI,FdI;Az-Iv
46224994,FdI,FdI;Az-Iv
1166155885359652864,FdI,FdI;Az-Iv
331617619,FdI,FdI;FI
3613396888,FdI,PD;AVS
1101531482508722176,FdI,FdI;Az-Iv
138736601,FdI,PD;Az-Iv
25508589,FdI,FdI;FI
1186406702,FdI,FdI;Az-Iv
399314100,FdI,PD;AVS
49954018,FdI,PD;Az-Iv
786276460080209920,FdI,FdI;Az-Iv
2289505911,FdI,FdI;Az-Iv
43891997,FdI,M5s
2496213907,FdI,FdI;Az-Iv
1214246351464062976,FdI,FdI;Az-Iv
1857528240,FdI,FdI;FI
132880191,FdI,PD;AVS
1482632439486898176,FdI,M5s
70971449,FdI,FdI;FI
837278820088623104,FdI,FdI;Az-Iv
860927713368035328,FdI,PD;AVS
28382943,FdI,FdI;Az-Iv
1219891410830270464,FdI,FdI;Az-Iv
806803817794633728,FdI,FdI;Az-Iv
295090952,FdI,FdI;Az-Iv
2786659652,FdI,FdI;Az-Iv
150725695,FdI,PD;AVS
14060262,FdI,PD;AVS
56457551,FdI,FdI;Az-Iv
491327107,FdI,PD;Az-Iv
428469345,FdI,FdI;Az-Iv
1459430522,FdI,PD;Az-Iv
2801547296,FdI,PD;Az-Iv
264405682,FdI,PD;AVS
446090752,FdI,PD;AVS
1150384973922349056,FdI,FdI;Az-Iv
1033267486500769792,FdI,PD;AVS
