party1,party2
FdI,PD
FdI,Az-Iv
FdI,PD;AVS
M5s,PD
M5s,PD;AVS
M5s,NM;FI;FdI;PD;L
PD;AVS,FdI;M5s
PD;AVS,Az-Iv
L;Az-Iv,PD;AVS
L;Az-Iv,PD
FI,PD
FI,Az-Iv
L;FdI,Az-Iv
L;FdI,PD
L;FdI,PD;AVS
FdI;M5s,PD;AVS
FdI;M5s,PD;Az-Iv
PD,FdI;Az-Iv
PD,L;FdI
PD,FdI;FI
PD,M5s
NM;FI;FdI;PD;L,M5s
PD;AVS,FdI;Az-Iv
PD;AVS,M5s
PD;AVS,FdI;FI
PD;AVS,L;FdI
PD;AVS,FdI
PD;AVS,NM;FdI
Az-Iv,PD;AVS
Az-Iv,FdI;FI
Az-Iv,L;FdI
Az-Iv,M5s
FdI,PD;Az-Iv
FdI,M5s
M5s,L;FdI
M5s,FdI;Az-Iv
M5s,PD;Az-Iv
M5s,NM;FdI
M5s,FdI;FI
L;Az-Iv,M5s
FI,PD;Az-Iv
L;FdI,PD;Az-Iv
