party1,party2
FdI,NM;FI;FdI;PD;L
FdI,FdI;M5s
M5s,FdI;M5s
PD;AVS,NM;FI;FdI;PD;L
PD;AVS,PD
L;Az-Iv,Az-Iv
L;Az-Iv,NM;FI;FdI;PD;L
FI,NM;FI;FdI;PD;L
L;FdI,NM;FI;FdI;PD;L
L;FdI,FdI;M5s
FdI;M5s,M5s
FdI;M5s,FdI;Az-Iv
FdI;M5s,L;FdI
FdI;M5s,FdI;FI
FdI;M5s,FdI
FdI;M5s,NM;FdI
PD,PD;AVS
PD,PD;Az-Iv
NM;FI;FdI;PD;L,FdI;FI
NM;FI;FdI;PD;L,L;FdI
NM;FI;FdI;PD;L,FdI;Az-Iv
NM;FI;FdI;PD;L,PD;Az-Iv
NM;FI;FdI;PD;L,PD;AVS
NM;FI;FdI;PD;L,NM;FdI
PD;AVS,PD;Az-Iv
Az-Iv,PD;Az-Iv
Az-Iv,FdI;Az-Iv
FdI,FdI;FI
FdI,FdI;Az-Iv
FdI,L;FdI
L;Az-Iv,PD;Az-Iv
L;Az-Iv,FdI;Az-Iv
L;Az-Iv,L;FdI
FI,FdI;FI
L;FdI,FdI;FI
L;FdI,FdI;Az-Iv
L;FdI,NM;FdI
