user,party1,party2,swing_time,swing_type
1084450777748459520,FdI,PD,BD,hardswing
823182867773669376,FdI,Az-Iv,BD,hardswing
737393216077627392,FdI,PD,BD,hardswing
407747764,FdI,NM;FI;FdI;PD;L,BD,norealswing
1300916262369984512,FdI,PD,BD,hardswing
1525040380969992192,FdI,PD;AVS,BD,hardswing
441973402,FdI,PD,BD,hardswing
1545261000622063616,FdI,noparty,BD,partytonan
822184940,FdI,PD;AVS,BD,hardswing
959569726979616768,FdI,noparty,BD,partytonan
1150467950723444736,FdI,NM;FI;FdI;PD;L,BD,norealswing
3030533474,FdI,PD,BD,hardswing
483344064,FdI,Az-Iv,BD,hardswing
1033280112714756096,FdI,PD;AVS,BD,hardswing
14073125,FdI,PD,BD,hardswing
391485689,FdI,PD,BD,hardswing
25676606,FdI,PD,BD,hardswing
1429710335515181056,FdI,PD,BD,hardswing
1138038249182683136,FdI,PD,BD,hardswing
3435148533,FdI,PD,BD,hardswing
113410319,FdI,PD,BD,hardswing
1463877868929302528,FdI,PD,BD,hardswing
270050737,FdI,PD,BD,hardswing
1372596200,FdI,Az-Iv,BD,hardswing
300888596,FdI,PD,BD,hardswing
627367368,FdI,noparty,BD,partytonan
23364501,FdI,PD,BD,hardswing
504987991,FdI,PD,BD,hardswing
447139063,FdI,PD,BD,hardswing
2463100707,FdI,FdI;M5s,BD,norealswing
420635476,FdI,PD;AVS,BD,hardswing
48971201,FdI,Az-Iv,BD,hardswing
46224994,FdI,PD,BD,hardswing
331617619,FdI,NM;FI;FdI;PD;L,BD,norealswing
3613396888,FdI,PD,BD,hardswing
1101531482508722176,FdI,PD,BD,hardswing
138736601,FdI,NM;FI;FdI;PD;L,BD,norealswing
25508589,FdI,NM;FI;FdI;PD;L,BD,norealswing
1186406702,FdI,noparty,BD,partytonan
399314100,FdI,PD,BD,hardswing
49954018,FdI,Az-Iv,BD,hardswing
786276460080209920,FdI,PD,BD,hardswing
2289505911,FdI,PD,BD,hardswing
43891997,FdI,noparty,BD,partytonan
2496213907,FdI,noparty,BD,partytonan
1214246351464062976,FdI,noparty,BD,partytonan
1857528240,FdI,NM;FI;FdI;PD;L,BD,norealswing
132880191,FdI,NM;FI;FdI;PD;L,BD,norealswing
1482632439486898176,FdI,FdI;M5s,BD,norealswing
4560243317,FdI,PD;AVS,BD,hardswing
70971449,FdI,PD,BD,hardswing
837278820088623104,FdI,noparty,BD,partytonan
860927713368035328,FdI,PD,BD,hardswing
1219891410830270464,FdI,Az-Iv,BD,hardswing
295090952,FdI,PD,BD,hardswing
150725695,FdI,PD,BD,hardswing
14060262,FdI,PD,BD,hardswing
491327107,FdI,Az-Iv,BD,hardswing
428469345,FdI,noparty,BD,partytonan
1459430522,FdI,noparty,BD,partytonan
2801547296,FdI,Az-Iv,BD,hardswing
446090752,FdI,PD,BD,hardswing
1150384973922349056,FdI,PD,BD,hardswing
88301856,FdI,Az-Iv,BD,hardswing
1033267486500769792,FdI,PD;AVS,BD,hardswing
789536032819650560,FdI,PD;AVS,BD,hardswing
3357339153,FdI,PD;AVS,BD,hardswing
133790890,FdI,PD,BD,hardswing
1015989050,FdI,noparty,BD,partytonan
460030420,FdI,Az-Iv,BD,hardswing
416476798,FdI,PD,BD,hardswing
988825008,FdI,PD;AVS,BD,hardswing
35525950,FdI,PD,BD,hardswing
1101050610466590720,FdI,PD,BD,hardswing
3293203413,FdI,NM;FI;FdI;PD;L,BD,norealswing
2297565537,FdI,PD,BD,hardswing
948578516982956032,FdI,FdI;M5s,BD,norealswing
2280648054,FdI,PD,BD,hardswing
422209080,FdI,Az-Iv,BD,hardswing
431976775,FdI,PD,BD,hardswing
735980645273489408,FdI,noparty,BD,partytonan
1038177516,FdI,noparty,BD,partytonan
501620760,FdI,NM;FI;FdI;PD;L,BD,norealswing
4328992043,FdI,Az-Iv,BD,hardswing
61141361,FdI,PD,BD,hardswing
725882047,FdI,Az-Iv,BD,hardswing
213254229,FdI,PD;AVS,BD,hardswing
404994604,FdI,Az-Iv,BD,hardswing
460504033,FdI,PD,BD,hardswing
251130873,FdI,NM;FI;FdI;PD;L,BD,norealswing
396778217,FdI,PD,BD,hardswing
510786998,FdI,PD,BD,hardswing
1168612912056999936,FdI,PD,BD,hardswing
828717014,FdI,PD,BD,hardswing
87467449,FdI,NM;FI;FdI;PD;L,BD,norealswing
1262417935,FdI,noparty,BD,partytonan
1200853862967660544,FdI,noparty,BD,partytonan
1287068107643719680,FdI,noparty,BD,partytonan
140412189,FdI,Az-Iv,BD,hardswing
27606361,FdI,noparty,BD,partytonan
22651555,FdI,PD;AVS,BD,hardswing
1244199163648147456,FdI,Az-Iv,BD,hardswing
1013879910,FdI,noparty,BD,partytonan
2388790596,FdI,noparty,BD,partytonan
317769975,FdI,PD,BD,hardswing
958633201,FdI,PD;AVS,BD,hardswing
1023972842948452352,FdI,NM;FI;FdI;PD;L,BD,norealswing
734626206,FdI,PD,BD,hardswing
2162983644,FdI,PD,BD,hardswing
365462238,FdI,PD,BD,hardswing
1037049997,FdI,FdI;M5s,BD,norealswing
4344764241,FdI,PD,BD,hardswing
499561762,FdI,PD,BD,hardswing
2346923772,FdI,PD;AVS,BD,hardswing
395218906,FdI,PD,BD,hardswing
1595717454,FdI,PD;AVS,BD,hardswing
1885687531,FdI,PD,BD,hardswing
275741325,FdI,Az-Iv,BD,hardswing
2157554042,FdI,PD;AVS,BD,hardswing
632742781,FdI,PD,BD,hardswing
1216148624243118080,FdI,Az-Iv,BD,hardswing
4697142235,FdI,noparty,BD,partytonan
58052287,FdI,PD,BD,hardswing
15735970,FdI,PD,BD,hardswing
1025012509,FdI,Az-Iv,BD,hardswing
985232360,FdI,noparty,BD,partytonan
1307390346,FdI,FdI;M5s,BD,norealswing
2429285868,FdI,PD,BD,hardswing
3241806322,FdI,PD;AVS,BD,hardswing
466348695,FdI,Az-Iv,BD,hardswing
237256441,FdI,Az-Iv,BD,hardswing
1652843454,FdI,PD;AVS,BD,hardswing
986268867839385600,FdI,PD,BD,hardswing
882553959516446720,FdI,Az-Iv,BD,hardswing
389131517,FdI,PD;AVS,BD,hardswing
85129926,FdI,noparty,BD,partytonan
1478623479197011968,FdI,PD,BD,hardswing
494111063,FdI,NM;FI;FdI;PD;L,BD,norealswing
452343838,FdI,PD,BD,hardswing
377596180,FdI,PD;AVS,BD,hardswing
402894474,FdI,PD,BD,hardswing
1961251566,FdI,Az-Iv,BD,hardswing
2194037379,FdI,PD;AVS,BD,hardswing
2858584827,FdI,PD,BD,hardswing
1426567311809515520,FdI,PD,BD,hardswing
3550261402,FdI,PD,BD,hardswing
4528167203,FdI,PD;AVS,BD,hardswing
1266404090935992320,FdI,PD,BD,hardswing
261910864,FdI,PD,BD,hardswing
404064077,FdI,PD,BD,hardswing
955521362,FdI,Az-Iv,BD,hardswing
372273460,FdI,PD;AVS,BD,hardswing
1081290202465947648,FdI,PD,BD,hardswing
947262590,FdI,Az-Iv,BD,hardswing
479423459,FdI,noparty,BD,partytonan
1163020839605985280,FdI,PD,BD,hardswing
517721087,FdI,PD,BD,hardswing
908731428124397568,FdI,PD;AVS,BD,hardswing
1103360481341902848,FdI,NM;FI;FdI;PD;L,BD,norealswing
169566296,FdI,PD;AVS,BD,hardswing
472966889,FdI,PD,BD,hardswing
2324434960,FdI,noparty,BD,partytonan
3401430430,FdI,FdI;M5s,BD,norealswing
393392832,FdI,PD;AVS,BD,hardswing
826707133311942656,FdI,PD;AVS,BD,hardswing
844860175206920192,FdI,PD,BD,hardswing
36079217,FdI,PD,BD,hardswing
1242779555527614464,FdI,PD,BD,hardswing
113981849,FdI,PD;AVS,BD,hardswing
121424128,FdI,PD,BD,hardswing
3676549834,FdI,PD,BD,hardswing
770421866,FdI,PD,BD,hardswing
1247360977,FdI,PD,BD,hardswing
1023465239478710272,FdI,Az-Iv,BD,hardswing
905720262343229440,FdI,noparty,BD,partytonan
56957289,FdI,noparty,BD,partytonan
1205122244114100224,FdI,PD;AVS,BD,hardswing
1191459938297667584,FdI,FdI;M5s,BD,norealswing
3303962619,FdI,noparty,BD,partytonan
3124013698,FdI,PD,BD,hardswing
2236327369,FdI,FdI;M5s,BD,norealswing
