source,target,weight,p_value
1326455841411788801,1326455841411788800,989,8.132944701674018e-154
1326455841411788800,2227488127,23,1.6159090730345426e-05
1326455841411788800,1283766291799715843,15,4.3977996725247154e-05
1326455841411788800,377430097,12,0.0016997771714725514
1326455841411788800,1125440833099112448,12,0.002106884443229713
1326455841411788800,1214986704492339206,9,0.0022412112226613654
1326455841411788800,456595925,10,0.004317165667630202
1326455841411788800,4160203479,11,0.0049290568434784045
1326455841411788800,1460246270757552128,7,0.006670712722056787
1326455841411788800,729861715970658308,10,0.007784618255849882
1326455841411788800,821429403137740800,8,0.009508322328706855
1326455841411788800,1386578453831557120,7,0.011877073150509627
1326455841411788800,432637066,7,0.013440374058751422
1326455841411788800,34630086,14,0.015625
1326455841411788800,2436207123,8,0.01922348785655421
1326455841411788800,1492229341828333569,5,0.024901952626843266
1326455841411788800,1003333312948178944,5,0.024940610175642176
1326455841411788800,3020531027,4,0.029115648548398126
1326455841411788800,1410870161985388546,5,0.029564680169414128
1326455841411788800,1087476792007495680,7,0.03319827170466103
1326455841411788800,1215273083965231111,4,0.038152042447694615
1326455841411788800,997782892355969025,4,0.04223513603210449
1326455841411788800,1701836234,4,0.04482014494373411
1447233287060180993,1300916262369984512,691,1.6956271117313683e-80
1447233287060180993,52424550,155,2.929965994412851e-18
1447233287060180993,150725695,48,1.3272604046444035e-11
1447233287060180993,432516884,87,3.503625056828071e-11
1447233287060180993,543774554,34,1.1217563992100919e-09
1447233287060180993,332885533,92,1.2692861384829706e-09
1447233287060180993,404064077,48,2.1016690447476334e-09
1447233287060180993,465454493,40,2.1771801763944972e-09
1447233287060180993,121424128,35,2.722998100826219e-09
1447233287060180993,289400495,88,3.348558396140115e-09
1447233287060180993,999578121123848192,70,3.5644860596493075e-09
1447233287060180993,1519723095057174528,74,1.3351445929749005e-08
1447233287060180993,1061519784079171584,49,1.1607264760810187e-07
1447233287060180993,1876212612,82,1.485192745654751e-07
1447233287060180993,1334546508,49,2.982182920338272e-07
1447233287060180993,1053949922003828736,27,3.9377124732576504e-07
1447233287060180993,318499634,37,6.603670353095304e-07
1447233287060180993,1234825597194579968,34,8.258482115938253e-07
1447233287060180993,395218906,20,2.0236214127948296e-06
1447233287060180993,2832335447,54,3.7572595322446927e-06
1447233287060180993,590118003,43,4.127650706730295e-06
1447233287060180993,737734557777178624,23,4.998591946185001e-06
1447233287060180993,2983707267,57,6.525336085674397e-06
1447233287060180993,437533038,27,1.3939001043432894e-05
1447233287060180993,213254229,18,1.4533701960422394e-05
1447233287060180993,823975129470341120,33,1.48480363284479e-05
1447233287060180993,837387974224543744,42,1.7048607967501125e-05
1447233287060180993,2414699069,30,1.8856361553237274e-05
1447233287060180993,1296055260394532864,31,2.0349615489975045e-05
1447233287060180993,1172019419557637888,41,2.4064753443600606e-05
1447233287060180993,454423746,18,2.463052397812069e-05
1447233287060180993,1491412858843901952,40,2.674887644044751e-05
1447233287060180993,828717014,15,6.078374320721928e-05
1447233287060180993,860015294,19,0.0001009504641962534
1447233287060180993,1213507642858987520,25,0.00012318709551402743
1447233287060180993,370278925,13,0.00012777955759109172
1447233287060180993,951853792936517632,17,0.00013464375512409473
1447233287060180993,429847277,15,0.0001667089401709949
1447233287060180993,700665886823219200,10,0.00016725298144072766
1447233287060180993,1557514573,18,0.00017582074106340412
1447233287060180993,143393223,12,0.00017643280640010567
1447233287060180993,32624061,14,0.0001837083586965951
1447233287060180993,1451424235,15,0.00018555053205032303
1447233287060180993,388362333,20,0.0002087734006118129
1447233287060180993,1464788840,20,0.00022508616386045758
1447233287060180993,84300444,13,0.0002365614343646073
