source,target,weight,p_value
3241806322,29416653,132,3.150181830100768e-51
29416653,389131517,38,1.9142500857580973e-14
29416653,169566296,27,1.0612009593509216e-07
29416653,1342502335361273856,22,2.1169903802494826e-06
29416653,3308422191,20,6.992131211763423e-06
29416653,377596180,14,8.669060267303017e-06
29416653,993804838705213440,19,1.2700612929381119e-05
29416653,947262590,19,1.2700612929381119e-05
29416653,1163020839605985280,16,7.595410715699635e-05
29416653,3676549834,14,0.0002498073235219165
29416653,1440784603,13,0.00045279697088400925
29416653,2447546724,11,0.0014860858301089636
29416653,1293469620909809664,11,0.0014860858301089636
29416653,1103360481341902848,9,0.004870539271009019
29416653,723898926,9,0.004870539271009019
29416653,2848115296,8,0.008812849723839047
29416653,1497243827207290880,8,0.008812849723839047
29416653,1015965682742284288,8,0.008812849723839047
29416653,608125539,7,0.01594059062136187
29416653,1493109716792356864,7,0.01594059062136187
29416653,2606389745,7,0.01594059062136187
29416653,172028905,7,0.01594059062136187
29416653,1511507618992377856,7,0.01594059062136187
29416653,270050737,6,0.019688461526507172
29416653,1491122529024552960,5,0.021665532723070226
29416653,223881169,6,0.025901115942276714
29416653,3613396888,6,0.0288231444911508
29416653,1374453089487310848,6,0.0288231444911508
29416653,3124013698,6,0.0288231444911508
29416653,1408136039504433152,6,0.0288231444911508
29416653,976088995355680768,6,0.0288231444911508
29416653,1502717953489387520,6,0.0288231444911508
29416653,1511935319402332160,6,0.0288231444911508
1300916262369984512,1323186403614875648,339,5.186471431916376e-45
1300916262369984512,2858584827,124,7.7362084528003e-19
1300916262369984512,1112397484058427392,63,3.3865826437561605e-14
1300916262369984512,998943681964068864,82,6.101474352862389e-14
1300916262369984512,1330133173636894720,95,1.3332174845547584e-13
1300916262369984512,345535835,68,7.239489544610375e-12
1300916262369984512,1025143716,54,1.1445294838348338e-11
1300916262369984512,48971201,56,1.4628790460507934e-11
1300916262369984512,1037049997,49,1.509406393094062e-11
1300916262369984512,737393216077627392,79,6.588984896812016e-11
1300916262369984512,464612109,69,3.7052788303811655e-10
1300916262369984512,770206242824413184,37,9.67084317861667e-10
1300916262369984512,1519983942195163136,38,1.2849056557247966e-09
1300916262369984512,1019202374773112832,50,2.3714026018070566e-09
1300916262369984512,3898955560,54,3.008991382252595e-09
1300916262369984512,1495855082734297088,48,3.377251516504196e-09
1300916262369984512,1243993407611121664,48,9.10380869343106e-09
1300916262369984512,986268867839385600,60,1.8837401831675523e-08
1300916262369984512,305255857,42,1.9995814409117525e-08
1300916262369984512,1033267486500769792,33,2.8375238123369562e-08
1300916262369984512,441948165,31,2.877114582435721e-08
1300916262369984512,890577630327705600,29,3.275114772502537e-08
1300916262369984512,908731428124397568,30,3.298802786710238e-08
1300916262369984512,1247360977,27,5.297837467242032e-08
1300916262369984512,2479620311,53,5.49032548749359e-08
1300916262369984512,1349490629324242944,40,7.345091135485031e-08
1300916262369984512,2429285868,37,9.345941509576675e-08
1300916262369984512,901024626402357248,37,1.0374151690489469e-07
1300916262369984512,249854492,23,1.6585689267341124e-07
1300916262369984512,210787486,25,2.1423278953096097e-07
1300916262369984512,962692920171270144,39,2.7241904565675184e-07
1300916262369984512,933097573476286464,30,4.62358658365184e-07
1300916262369984512,1251605058,28,4.6485201532698647e-07
1300916262369984512,1304915840161263616,49,4.952631979607469e-07
1300916262369984512,1215779772762148864,28,6.666380339581371e-07
1300916262369984512,1357352206777868288,27,8.713658701049119e-07
1300916262369984512,528297332,39,2.4261105362504635e-06
1300916262369984512,441973402,22,3.4695230952250575e-06
1300916262369984512,1328731046725226496,28,3.582043177621471e-06
1300916262369984512,2731197053,21,4.486983652859819e-06
1300916262369984512,1376558833380757504,30,4.995231561724246e-06
1300916262369984512,1470743907025797120,41,5.326225528917055e-06
1300916262369984512,2870082475,26,5.956369672146184e-06
1300916262369984512,1071769013666099200,19,6.195162415740636e-06
1300916262369984512,701927677,24,6.628912783167969e-06
1300916262369984512,377333871,25,6.724845643841263e-06
1300916262369984512,295090952,16,1.3258269850084653e-05
1300916262369984512,811304628348481536,31,1.3415927376852873e-05
1300916262369984512,1045342676311314432,20,1.57823123001053e-05
1300916262369984512,961233370821914624,34,1.6234718734949355e-05
1300916262369984512,820489519,32,1.647551322255618e-05
1300916262369984512,1222235658305052672,35,1.7476896850220157e-05
1300916262369984512,1166155885359652864,17,1.767456240132332e-05
1300916262369984512,1069275696,14,1.9447417122720874e-05
1300916262369984512,1160238387753865216,20,2.0669735008629885e-05
1300916262369984512,1028524926,17,2.1103733904092013e-05
1300916262369984512,765555246,30,2.317480470192126e-05
1300916262369984512,841701064118284288,29,2.821697551833001e-05
1300916262369984512,1508528078854795264,12,2.9053790949796806e-05
1300916262369984512,4876948905,28,2.9630614174833145e-05
1300916262369984512,1556455656,34,3.2987781677855874e-05
1300916262369984512,882553959516446720,15,3.500714602138158e-05
1300916262369984512,1383140323157762048,17,3.895272335394992e-05
1300916262369984512,1352884798600192000,23,4.0235403365916254e-05
1300916262369984512,2216179636,31,4.036870221172832e-05
1300916262369984512,1214246351464062976,17,4.073361483160358e-05
1300916262369984512,632742781,17,4.203894651556592e-05
1300916262369984512,517721087,23,4.897239522211942e-05
1300916262369984512,15735970,23,5.127005467799456e-05
1300916262369984512,1130420497,28,6.472541193958282e-05
1300916262369984512,1450853940615127040,32,7.690189094842123e-05
1300916262369984512,1326282364763447296,15,7.73553741645213e-05
1300916262369984512,523431666,24,7.844286698140086e-05
1300916262369984512,1064950180410269696,26,8.322467964330915e-05
1300916262369984512,1394277882,24,0.00010540548274907545
1300916262369984512,1497203889887657984,14,0.00011210560750442971
1300916262369984512,1095531864,16,0.00011422690710148235
1300916262369984512,957743786628665344,20,0.0001231752167767424
1300916262369984512,1558074222932639744,16,0.000137246685229387
1300916262369984512,1306583938219925504,30,0.00013914319073131225
1300916262369984512,938867301650231296,12,0.00014822191618709914
1300916262369984512,2804233346,13,0.00018573147820570194
1300916262369984512,1504445691736829952,16,0.00018941064396392523
1300916262369984512,570833587,16,0.00019583053771021162
1300916262369984512,2463100707,13,0.00020047160548588335
1300916262369984512,251307101,21,0.00024518539830789874
1300916262369984512,989042576362754048,16,0.00026166350832000635
1300916262369984512,2174507470,18,0.0002682906506251786
1300916262369984512,116050560,18,0.0002715088383380205
1300916262369984512,1117415327615397888,21,0.0002834461658707134
1300916262369984512,3308375333,24,0.0002835247829856134
1300916262369984512,541670926,27,0.0003289287292837838
1300916262369984512,1016280316699398144,20,0.00034027614673068785
1300916262369984512,1023465239478710272,16,0.00034761802650999126
1300916262369984512,1290097460,13,0.0003732749277051812
1300916262369984512,1276146338753843200,9,0.0003872480635125557
1300916262369984512,1498214304860024832,23,0.00039565862815789805
1300916262369984512,2765449475,15,0.00041113836447150063
1300916262369984512,2772829228,24,0.00041161188811053096
1300916262369984512,22693775,14,0.00042657220175142964
1300916262369984512,1435067262,15,0.0004492761564961877
1300916262369984512,513144334,12,0.0004595625672868577
1300916262369984512,1226537390690521088,21,0.0004905892121773351
1300916262369984512,4528022080,13,0.0005092116957364687
1300916262369984512,1337596044,13,0.0005315323172489184
1300916262369984512,1205122244114100224,19,0.0005821103716750203
1300916262369984512,948578516982956032,21,0.0005852194443743854
1300916262369984512,1407292613871476736,9,0.0006117219971320082
1300916262369984512,1463877868929302528,10,0.0006164758874469603
1300916262369984512,553680201,14,0.0006923901544725554
1300916262369984512,4877601425,13,0.000757346282867374
1300916262369984512,378489654,10,0.0007593444185400952
1300916262369984512,1310209976,14,0.000787396075087762
1300916262369984512,1083680015492022272,11,0.0008031139015598473
1300916262369984512,1336964342823129088,17,0.0008386926097905331
1300916262369984512,1238080592618676224,15,0.0008504047925529437
1300916262369984512,806595464841854976,12,0.0008774140048261539
1300916262369984512,124836934,19,0.000914805192948853
1300916262369984512,1090151034,14,0.0009822524106584047
1300916262369984512,2874770217,11,0.0010912204519837477
1300916262369984512,189110064,9,0.0011062059774693221
1300916262369984512,959149004851417088,23,0.0011075995940011386
1300916262369984512,1055367092,11,0.001126825825625157
1300916262369984512,3435148533,8,0.0012984105178165974
1300916262369984512,109823385,10,0.001339662894939772
1300916262369984512,112810232,11,0.0013451748668034424
1300916262369984512,99702635,14,0.0013950983289241757
1300916262369984512,910088884469592064,10,0.0014374926388558233
1300916262369984512,1020002929238073344,15,0.001467383425939327
1300916262369984512,300888596,10,0.0015388355156254014
1300916262369984512,1240214959776239616,19,0.0016374014692038545
1300916262369984512,447139063,8,0.0016422956614049592
1300916262369984512,113050526,12,0.0017300835495291773
1300916262369984512,504987991,9,0.0017674132351663918
1300916262369984512,1101531482508722176,10,0.0018680490023042103
1300916262369984512,1498327895269421056,10,0.001878930219662053
1300916262369984512,2386237696,17,0.0019535019450496738
1300916262369984512,1251474762460790784,19,0.001997467699966263
1300916262369984512,1111697667946659840,21,0.002002948768243106
1300916262369984512,28528873,10,0.0020372229322758975
1300916262369984512,881977445955645440,9,0.002157856404493782
1300916262369984512,959569726979616768,9,0.002269432860484236
1300916262369984512,256213996,12,0.0022753548299418724
1300916262369984512,1434123659967410176,12,0.002380349016104262
1300916262369984512,1652843454,9,0.0024259269539757397
1300916262369984512,595620738,9,0.002478577225546529
1300916262369984512,781596242686148608,9,0.0025329516211914085
1300916262369984512,3068577610,18,0.002571020824268223
1300916262369984512,2385799301,12,0.0027359055710313423
1300916262369984512,958958707840311296,10,0.0028123131875432902
1300916262369984512,431976775,8,0.0029518560522970995
1300916262369984512,176852142,9,0.0030277335434253437
1300916262369984512,734626206,10,0.0030575436508615004
1300916262369984512,1168202277091516416,11,0.00312776119974878
1300916262369984512,1961251566,12,0.0033542289651753102
1300916262369984512,2478580177,10,0.0034944017418863244
1300916262369984512,1253965695668412416,7,0.003586220590989701
1300916262369984512,423767651,9,0.003673039712214357
1300916262369984512,47288066,10,0.003804714307794653
1300916262369984512,1238888091986866176,9,0.0039056026649622578
1300916262369984512,942463485073657856,16,0.0039199379043157335
1300916262369984512,499561762,10,0.004077452599154208
1300916262369984512,149609445,11,0.004128545405642381
1300916262369984512,1435183072778113024,15,0.004259735179619042
1300916262369984512,1251089251,10,0.004269703802108511
1300916262369984512,1197995538953707520,15,0.004353985775535595
1300916262369984512,34236812,11,0.00441599351757265
1300916262369984512,110460168,11,0.004417736936171742
1300916262369984512,1035805719789010944,10,0.0044992019877713755
1300916262369984512,111696944,9,0.004540822408880396
1300916262369984512,3401430430,8,0.004816808299905482
1300916262369984512,30585852,7,0.004883716013725756
1300916262369984512,428469345,11,0.00510994576250529
1300916262369984512,949338906226552832,9,0.005133847761511114
1300916262369984512,317879495,12,0.005419473344379752
1300916262369984512,261910864,6,0.005485164770744129
1300916262369984512,14073125,17,0.005583508514435009
1300916262369984512,447854508,8,0.005591342690706803
1300916262369984512,1264018218,10,0.005866985902779341
1300916262369984512,48042769,10,0.005887618301264051
1300916262369984512,1385311174984613888,8,0.0059205366851301155
1300916262369984512,1380138420010414080,7,0.005983991356512874
1300916262369984512,1168797480,11,0.006114888097849769
1300916262369984512,3290984981,16,0.006135871296063058
1300916262369984512,1191459938297667584,7,0.006400113658527893
1300916262369984512,495072533,7,0.006472734464233975
1300916262369984512,466348695,8,0.00648787128907507
1300916262369984512,96338614,6,0.006563124027908687
1300916262369984512,1240984286989344768,7,0.006607010746480514
1300916262369984512,1092526333735907328,13,0.006652316034645169
1300916262369984512,2540549555,8,0.00702820682903221
1300916262369984512,368956290,8,0.007111992460274732
1300916262369984512,967685017932632064,16,0.007179704784564512
1300916262369984512,1298633289654243328,6,0.00720222637388109
1300916262369984512,1345345218653118464,9,0.007240645110715587
1300916262369984512,1248547729569177600,7,0.007244150201408986
1300916262369984512,219802693,7,0.0074242379485068314
1300916262369984512,1272827097543827456,7,0.0075487376695226064
1300916262369984512,1168620947710103552,14,0.007657838961772853
1300916262369984512,1004967978386026496,7,0.007692571975030416
1300916262369984512,1318257218706378752,9,0.00770734662925895
1300916262369984512,1082281620546179072,13,0.0077694524318247336
1300916262369984512,4002592367,13,0.007824037898216061
1300916262369984512,2809403786,8,0.007945957396298154
1300916262369984512,1086984555352023040,8,0.008127006200756626
1300916262369984512,43891997,7,0.008754086987443108
1300916262369984512,1006227546952949760,7,0.00893506891063975
1300916262369984512,1274083701702434816,7,0.009017087414499319
1300916262369984512,899952481,10,0.00941628628387542
1300916262369984512,1362047880,9,0.009559143990734806
1300916262369984512,1497092066886799360,10,0.009637774975179732
1300916262369984512,56957289,7,0.009913560797502302
1300916262369984512,1007332756601425920,7,0.009947110497611402
1300916262369984512,2589240495,6,0.010105309769438447
1300916262369984512,1427591372912185344,10,0.010501675789536216
1300916262369984512,1610799896,10,0.010587890130334565
1300916262369984512,1498444048079675392,7,0.01067268773197615
1300916262369984512,868670948,7,0.010707133773816959
1300916262369984512,926466301270417408,7,0.010707133773816959
1300916262369984512,786276460080209920,8,0.010978463753895521
1300916262369984512,414385318,10,0.011249984241026476
1300916262369984512,1084076649367437312,6,0.011289513218251881
