id,period,community_id,community_label
425752285,before,4,FI
425752285,during,3,
425752285,after,6,FI;FdI
1135141640,before,4,FI
1135141640,during,3,
1135141640,after,6,FI;FdI
425686235,before,4,FI
425686235,during,3,
425686235,after,6,FI;FdI
1662805520,during,3,
2207218850,during,3,
295961054,before,4,FI
295961054,during,3,
3372744029,before,4,FI
3372744029,during,3,
3372744029,after,4,NM;FdI
216654596,before,0,FdI
216654596,during,0,FdI;M5s
216654596,after,5,AVS;PD
1134357498,before,0,FdI
1134357498,during,0,FdI;M5s
1134357498,after,1,AVS;PD
418814614,before,0,FdI
418814614,during,0,FdI;M5s
418814614,after,1,AVS;PD
588200416,before,0,FdI
588200416,during,0,FdI;M5s
588200416,after,1,AVS;PD
104485125,before,0,FdI
104485125,during,0,FdI;M5s
540701757,during,0,FdI;M5s
1314572933340295168,before,0,FdI
1314572933340295168,during,0,FdI;M5s
1314572933340295168,after,1,AVS;PD
1510780328,before,0,FdI
58020070,during,0,FdI;M5s
41391760,before,0,FdI
41391760,during,0,FdI;M5s
41391760,after,1,AVS;PD
1061367398,before,0,FdI
1061367398,after,1,AVS;PD
523058143,during,0,FdI;M5s
616886078,before,0,FdI
616886078,during,0,FdI;M5s
616886078,after,1,AVS;PD
381062532,before,0,FdI
381062532,during,0,FdI;M5s
381062532,after,1,AVS;PD
395183088,before,0,FdI
395183088,during,0,FdI;M5s
395183088,after,1,AVS;PD
258861907,before,0,FdI
258861907,during,0,FdI;M5s
258861907,after,1,AVS;PD
92556620,before,8,
92556620,during,4,AVS;PD
92556620,after,2,M5s
319185099,before,8,
411432358,before,8,
212364488,before,8,
212364488,during,4,AVS;PD
1026144254,before,8,
4008843159,during,4,AVS;PD
529247064,before,8,
529247064,during,4,AVS;PD
529247064,after,2,M5s
935723004,during,4,AVS;PD
935723004,after,2,M5s
90337089,before,3,L;Az-Iv
90337089,during,4,AVS;PD
1040271648082067458,during,4,AVS;PD
945729890,before,3,L;Az-Iv
945729890,during,4,AVS;PD
945729890,after,2,M5s
570163803,before,3,L;Az-Iv
570163803,during,4,AVS;PD
321313255,during,4,AVS;PD
321313255,after,2,M5s
82145527,before,3,L;Az-Iv
82145527,during,4,AVS;PD
403051679,before,3,L;Az-Iv
403051679,during,4,AVS;PD
403051679,after,2,M5s
493029817,before,3,L;Az-Iv
493029817,during,4,AVS;PD
493029817,after,2,M5s
479830985,before,3,L;Az-Iv
479830985,during,4,AVS;PD
479830985,after,2,M5s
74544145,before,3,L;Az-Iv
74544145,during,4,AVS;PD
74544145,after,2,M5s
519867330,before,3,L;Az-Iv
519867330,during,4,AVS;PD
519867330,after,2,M5s
22127498,during,4,AVS;PD
84037226,during,2,L;FdI;FI;NM;PD
702661167,before,3,L;Az-Iv
702661167,during,4,AVS;PD
702661167,after,2,M5s
373947833,during,4,AVS;PD
373947833,after,2,M5s
404836757,after,12,
211191573,during,4,AVS;PD
211191573,after,2,M5s
868257973,before,3,L;Az-Iv
868257973,during,4,AVS;PD
868257973,after,2,M5s
1039438621982502913,during,4,AVS;PD
1039438621982502913,after,2,M5s
130537001,before,3,L;Az-Iv
130537001,during,4,AVS;PD
130537001,after,2,M5s
457827532,during,4,AVS;PD
272317881,during,4,AVS;PD
272317881,after,2,M5s
421841453,before,3,L;Az-Iv
421841453,during,4,AVS;PD
421841453,after,2,M5s
493025647,during,4,AVS;PD
359933447,during,4,AVS;PD
359933447,after,2,M5s
588694308,during,4,AVS;PD
588694308,after,2,M5s
17242197,before,3,L;Az-Iv
17242197,during,4,AVS;PD
17242197,after,2,M5s
87467449,before,5,
87467449,during,4,AVS;PD
87467449,after,5,AVS;PD
882601007338979328,during,4,AVS;PD
534770413,during,4,AVS;PD
425811911,during,4,AVS;PD
876541483,before,3,L;Az-Iv
876541483,during,4,AVS;PD
106673706,during,4,AVS;PD
106673706,after,0,FdI;Az-Iv
215187433,before,3,L;Az-Iv
499715019,after,0,FdI;Az-Iv
455378815,during,4,AVS;PD
578316055,during,4,AVS;PD
309937155,during,4,AVS;PD
941091986,before,3,L;Az-Iv
941091986,during,4,AVS;PD
587805027,before,3,L;Az-Iv
587805027,during,4,AVS;PD
587805027,after,0,FdI;Az-Iv
61160450,before,0,FdI
61160450,during,4,AVS;PD
61160450,after,0,FdI;Az-Iv
520451294,during,4,AVS;PD
381443107,before,3,L;Az-Iv
381443107,during,4,AVS;PD
381443107,after,0,FdI;Az-Iv
963073442,during,2,L;FdI;FI;NM;PD
963073442,after,3,
999578121123848192,before,2,AVS;PD
999578121123848192,during,2,L;FdI;FI;NM;PD
999578121123848192,after,3,
1003507623214370816,during,2,L;FdI;FI;NM;PD
407163369,before,2,AVS;PD
407163369,during,2,L;FdI;FI;NM;PD
407163369,after,3,
2149359853,before,2,AVS;PD
577362844,during,2,L;FdI;FI;NM;PD
577362844,after,3,
373423842,during,4,AVS;PD
373423842,after,12,
398726169,before,4,FI
398726169,during,3,
492325083,before,4,FI
492325083,during,3,
492325083,after,4,NM;FdI
106560408,before,4,FI
106560408,during,3,
221902171,before,4,FI
221902171,during,3,
221902171,after,4,NM;FdI
385923471,before,4,FI
385923471,during,3,
1278510602,during,3,
461306712,after,6,FI;FdI
100218289,before,4,FI
100218289,during,3,
586037920,during,6,
46928097,during,3,
1030715161,before,4,FI
1030715161,during,3,
1870754606,during,4,AVS;PD
1074572754,during,6,
419622371,before,4,FI
419622371,during,3,
419622371,after,4,NM;FdI
588975097,during,3,
2389507018,during,3,
12514212,before,4,FI
12514212,after,4,NM;FdI
496437886,before,4,FI
496437886,during,3,
496437886,after,6,FI;FdI
960274334035128321,during,3,
65872738,before,4,FI
65872738,during,3,
65872738,after,4,NM;FdI
216361540,before,4,FI
216361540,during,3,
216361540,after,6,FI;FdI
1284790982672822272,during,3,
322933929,during,3,
430169858,before,4,FI
430169858,during,6,
430169858,after,6,FI;FdI
35298549,before,4,FI
35298549,during,3,
35298549,after,6,FI;FdI
331005596,during,3,
532545883,before,4,FI
532545883,during,3,
1022254674,before,4,FI
1022254674,during,3,
1022254674,after,4,NM;FdI
403544693,before,4,FI
455562995,before,0,FdI
455562995,during,0,FdI;M5s
455562995,after,1,AVS;PD
420332560,before,0,FdI
420332560,during,0,FdI;M5s
420332560,after,1,AVS;PD
590358735,during,0,FdI;M5s
560636317,before,0,FdI
560636317,during,0,FdI;M5s
560636317,after,1,AVS;PD
30248306,before,0,FdI
30248306,during,0,FdI;M5s
30248306,after,1,AVS;PD
2416067982,before,0,FdI
2416067982,during,0,FdI;M5s
2416067982,after,1,AVS;PD
18762875,before,0,FdI
18762875,during,0,FdI;M5s
18762875,after,1,AVS;PD
903723812,before,0,FdI
903723812,during,0,FdI;M5s
903723812,after,1,AVS;PD
447056150,during,0,FdI;M5s
447056150,after,1,AVS;PD
318316637,before,8,
318316637,during,4,AVS;PD
318316637,after,2,M5s
920277002858500096,before,8,
920277002858500096,during,4,AVS;PD
413217587,before,8,
413217587,during,4,AVS;PD
413217587,after,2,M5s
499911132,during,4,AVS;PD
376610294,before,3,L;Az-Iv
376610294,during,4,AVS;PD
376610294,after,2,M5s
919526072,before,3,L;Az-Iv
919526072,during,4,AVS;PD
919526072,after,0,FdI;Az-Iv
1047059160,before,3,L;Az-Iv
1006296722,before,3,L;Az-Iv
1006296722,during,4,AVS;PD
1006296722,after,2,M5s
1462014699797680130,during,4,AVS;PD
1462014699797680130,after,2,M5s
440815818,before,3,L;Az-Iv
440815818,during,4,AVS;PD
440815818,after,2,M5s
425933041,before,5,
425933041,after,2,M5s
201220925,before,3,L;Az-Iv
201220925,during,4,AVS;PD
201220925,after,2,M5s
247222140,before,3,L;Az-Iv
247222140,during,4,AVS;PD
247222140,after,2,M5s
847019750,after,14,
517487632,during,4,AVS;PD
1101905808,during,4,AVS;PD
418028983,before,3,L;Az-Iv
418028983,during,4,AVS;PD
418028983,after,2,M5s
214476890,during,4,AVS;PD
337767301,before,3,L;Az-Iv
337767301,during,4,AVS;PD
337767301,after,0,FdI;Az-Iv
490522414,during,4,AVS;PD
234787615,before,3,L;Az-Iv
1051906012104540161,during,4,AVS;PD
1051906012104540161,after,0,FdI;Az-Iv
3358881567,during,4,AVS;PD
270839361,before,3,L;Az-Iv
270839361,during,4,AVS;PD
270839361,after,0,FdI;Az-Iv
2266891589,after,3,
3062283743,during,2,L;FdI;FI;NM;PD
428521248,before,4,FI
428521248,during,3,
428521248,after,4,NM;FdI
515229378,before,4,FI
515229378,during,3,
376399556,before,4,FI
376399556,during,3,
964460408,before,4,FI
964460408,during,3,
964460408,after,4,NM;FdI
424473892,before,4,FI
336975968,before,4,FI
473842449,before,4,FI
473842449,during,3,
473842449,after,6,FI;FdI
