user,party1,party2
216654596,Az-Iv;L,FdI;Az-Iv
1134357498,Az-Iv;L,PD;Az-Iv
418814614,Az-Iv;L,PD;Az-Iv
588200416,Az-Iv;L,PD;Az-Iv
1314572933340295168,Az-Iv;L,PD;Az-Iv
41391760,Az-Iv;L,PD;Az-Iv
1061367398,Az-Iv;L,PD;Az-Iv
616886078,Az-Iv;L,PD;Az-Iv
381062532,Az-Iv;L,PD;Az-Iv
395183088,Az-Iv;L,PD;Az-Iv
258861907,Az-Iv;L,PD;Az-Iv
92556620,FI,FdI;FI
529247064,FI,FdI;FI
945729890,FdI;L,FdI;FI
403051679,FdI;L,FdI;FI
493029817,FdI;L,FdI;FI
479830985,FdI;L,FdI;FI
74544145,FdI;L,FdI;FI
519867330,FdI;L,FdI;FI
702661167,FdI;L,FdI;FI
868257973,FdI;L,FdI;FI
130537001,FdI;L,FdI;FI
421841453,FdI;L,FdI;FI
17242197,FdI;L,FdI;FI
87467449,FdI,FdI;Az-Iv
61160450,Az-Iv;L,FdI;L
455562995,Az-Iv;L,PD;Az-Iv
420332560,Az-Iv;L,PD;Az-Iv
560636317,Az-Iv;L,PD;Az-Iv
30248306,Az-Iv;L,PD;Az-Iv
2416067982,Az-Iv;L,PD;Az-Iv
18762875,Az-Iv;L,PD;Az-Iv
903723812,Az-Iv;L,PD;Az-Iv
318316637,FI,FdI;FI
413217587,FI,FdI;FI
376610294,FdI;L,FdI;FI
1006296722,FdI;L,FdI;FI
440815818,FdI;L,FdI;FI
425933041,FdI,FdI;FI
201220925,FdI;L,FdI;FI
247222140,FdI;L,FdI;FI
418028983,FdI;L,FdI;FI
940499085886480384,PD;AVS,PD;Az-Iv
