user,party1,party2
216654596,Az-Iv;L,Az-Iv
1134357498,Az-Iv;L,Az-Iv
418814614,Az-Iv;L,Az-Iv
588200416,Az-Iv;L,Az-Iv
104485125,Az-Iv;L,Az-Iv
1314572933340295168,Az-Iv;L,Az-Iv
41391760,Az-Iv;L,Az-Iv
616886078,Az-Iv;L,Az-Iv
381062532,Az-Iv;L,Az-Iv
395183088,Az-Iv;L,Az-Iv
258861907,Az-Iv;L,Az-Iv
92556620,FI,FdI;L;PD;NM;FI
212364488,FI,FdI;L;PD;NM;FI
529247064,FI,FdI;L;PD;NM;FI
90337089,FdI;L,FdI;L;PD;NM;FI
945729890,FdI;L,FdI;L;PD;NM;FI
570163803,FdI;L,FdI;L;PD;NM;FI
82145527,FdI;L,FdI;L;PD;NM;FI
403051679,FdI;L,FdI;L;PD;NM;FI
493029817,FdI;L,FdI;L;PD;NM;FI
479830985,FdI;L,FdI;L;PD;NM;FI
74544145,FdI;L,FdI;L;PD;NM;FI
519867330,FdI;L,FdI;L;PD;NM;FI
702661167,FdI;L,FdI;L;PD;NM;FI
868257973,FdI;L,FdI;L;PD;NM;FI
130537001,FdI;L,FdI;L;PD;NM;FI
421841453,FdI;L,FdI;L;PD;NM;FI
17242197,FdI;L,FdI;L;PD;NM;FI
87467449,FdI,FdI;L;PD;NM;FI
876541483,FdI;L,FdI;L;PD;NM;FI
941091986,FdI;L,FdI;L;PD;NM;FI
587805027,FdI;L,FdI;L;PD;NM;FI
61160450,Az-Iv;L,FdI;L;PD;NM;FI
381443107,FdI;L,FdI;L;PD;NM;FI
999578121123848192,M5s,FdI;M5s
407163369,M5s,FdI;M5s
430169858,PD;AVS,PD
455562995,Az-Iv;L,Az-Iv
420332560,Az-Iv;L,Az-Iv
560636317,Az-Iv;L,Az-Iv
30248306,Az-Iv;L,Az-Iv
2416067982,Az-Iv;L,Az-Iv
18762875,Az-Iv;L,Az-Iv
903723812,Az-Iv;L,Az-Iv
318316637,FI,FdI;L;PD;NM;FI
920277002858500096,FI,FdI;L;PD;NM;FI
413217587,FI,FdI;L;PD;NM;FI
376610294,FdI;L,FdI;L;PD;NM;FI
919526072,FdI;L,FdI;L;PD;NM;FI
1006296722,FdI;L,FdI;L;PD;NM;FI
440815818,FdI;L,FdI;L;PD;NM;FI
201220925,FdI;L,FdI;L;PD;NM;FI
247222140,FdI;L,FdI;L;PD;NM;FI
418028983,FdI;L,FdI;L;PD;NM;FI
337767301,FdI;L,FdI;L;PD;NM;FI
270839361,FdI;L,FdI;L;PD;NM;FI
