user,party1,party2
216654596,Az-Iv,FdI;Az-Iv
1134357498,Az-Iv,PD;Az-Iv
418814614,Az-Iv,PD;Az-Iv
588200416,Az-Iv,PD;Az-Iv
1314572933340295168,Az-Iv,PD;Az-Iv
41391760,Az-Iv,PD;Az-Iv
616886078,Az-Iv,PD;Az-Iv
381062532,Az-Iv,PD;Az-Iv
395183088,Az-Iv,PD;Az-Iv
258861907,Az-Iv,PD;Az-Iv
92556620,FdI;L;PD;NM;FI,FdI;FI
529247064,FdI;L;PD;NM;FI,FdI;FI
935723004,FdI;L;PD;NM;FI,FdI;FI
945729890,FdI;L;PD;NM;FI,FdI;FI
321313255,FdI;L;PD;NM;FI,FdI;FI
403051679,FdI;L;PD;NM;FI,FdI;FI
493029817,FdI;L;PD;NM;FI,FdI;FI
479830985,FdI;L;PD;NM;FI,FdI;FI
74544145,FdI;L;PD;NM;FI,FdI;FI
519867330,FdI;L;PD;NM;FI,FdI;FI
702661167,FdI;L;PD;NM;FI,FdI;FI
373947833,FdI;L;PD;NM;FI,FdI;FI
211191573,FdI;L;PD;NM;FI,FdI;FI
868257973,FdI;L;PD;NM;FI,FdI;FI
1039438621982502913,FdI;L;PD;NM;FI,FdI;FI
130537001,FdI;L;PD;NM;FI,FdI;FI
272317881,FdI;L;PD;NM;FI,FdI;FI
421841453,FdI;L;PD;NM;FI,FdI;FI
359933447,FdI;L;PD;NM;FI,FdI;FI
588694308,FdI;L;PD;NM;FI,FdI;FI
17242197,FdI;L;PD;NM;FI,FdI;FI
87467449,FdI;L;PD;NM;FI,FdI;Az-Iv
106673706,FdI;L;PD;NM;FI,FdI;L
587805027,FdI;L;PD;NM;FI,FdI;L
61160450,FdI;L;PD;NM;FI,FdI;L
381443107,FdI;L;PD;NM;FI,FdI;L
963073442,FdI;M5s,M5s
999578121123848192,FdI;M5s,M5s
407163369,FdI;M5s,M5s
577362844,FdI;M5s,M5s
373423842,FdI;L;PD;NM;FI,NM;FdI
430169858,PD,PD;AVS
455562995,Az-Iv,PD;Az-Iv
420332560,Az-Iv,PD;Az-Iv
560636317,Az-Iv,PD;Az-Iv
30248306,Az-Iv,PD;Az-Iv
2416067982,Az-Iv,PD;Az-Iv
18762875,Az-Iv,PD;Az-Iv
903723812,Az-Iv,PD;Az-Iv
447056150,Az-Iv,PD;Az-Iv
318316637,FdI;L;PD;NM;FI,FdI;FI
413217587,FdI;L;PD;NM;FI,FdI;FI
376610294,FdI;L;PD;NM;FI,FdI;FI
919526072,FdI;L;PD;NM;FI,FdI;L
1006296722,FdI;L;PD;NM;FI,FdI;FI
1462014699797680130,FdI;L;PD;NM;FI,FdI;FI
440815818,FdI;L;PD;NM;FI,FdI;FI
201220925,FdI;L;PD;NM;FI,FdI;FI
247222140,FdI;L;PD;NM;FI,FdI;FI
418028983,FdI;L;PD;NM;FI,FdI;FI
337767301,FdI;L;PD;NM;FI,FdI;L
1051906012104540161,FdI;L;PD;NM;FI,FdI;L
270839361,FdI;L;PD;NM;FI,FdI;L
940499085886480384,PD;AVS,PD;Az-Iv
