source,Party,weight
1001091645515935744,Alleanza Verdi Sinistra,15
1001344387102728192,Azione - Italia Viva,18
1002639111205871616,Lega,8
1004874680,Azione - Italia Viva,53
1005980574,Azione - Italia Viva,9
1008407814031794176,Azione - Italia Viva,9
1010600056582492160,Partito Democratico,4
1011308525807693824,Alleanza Verdi Sinistra,7
1011603156,Lega,7
1015965682742284288,Azione - Italia Viva,28
1019202374773112832,Movimento 5s,33
1022555336463532032,Azione - Italia Viva,27
1024976264,Fratelli d'Italia,220
1025345033384411136,Fratelli d'Italia,8
1025657582185271296,Azione - Italia Viva,11
1025767333988581376,Partito Democratico,82
1028568698133655552,Azione - Italia Viva,16
1030124031733911552,Lega,4
1032691285,Azione - Italia Viva,4
1034548849598189568,Alleanza Verdi Sinistra,7
1035247448866934784,Lega,10
1035312538798440448,Azione - Italia Viva,6
1035648571163521024,Azione - Italia Viva,12
1036982799549513728,Movimento 5s,26
1037049997,Movimento 5s,31
1037393713,Alleanza Verdi Sinistra,7
1039152966,Azione - Italia Viva,6
1040471648,Azione - Italia Viva,9
1042482833007239168,Alleanza Verdi Sinistra,6
1042624093,Azione - Italia Viva,35
1043099688,Partito Democratico,4
1045342676311314432,Partito Democratico,21
1046742919703646208,Azione - Italia Viva,7
1049660266340904960,Partito Democratico,4
1050589128,Azione - Italia Viva,5
1050753675445104640,Fratelli d'Italia,9
1053308170448322560,Lega,5
1054662974,Azione - Italia Viva,6
1055054525285982208,Fratelli d'Italia,60
1056590361722867712,Movimento 5s,19
1059361525109010432,Azione - Italia Viva,122
1062583370,Fratelli d'Italia,50
1062884642,Azione - Italia Viva,5
1065698616,Partito Democratico,5
1071769013666099200,Azione - Italia Viva,18
1073355817,Azione - Italia Viva,45
1085291572588097536,Azione - Italia Viva,24
1092526333735907328,Azione - Italia Viva,16
1094396285069807616,Fratelli d'Italia,80
1094996408371998720,Partito Democratico,9
1096445798286573568,Azione - Italia Viva,48
1097175085742469120,Azione - Italia Viva,71
1097617934128693248,Azione - Italia Viva,9
1103360481341902848,Fratelli d'Italia,68
