source,Party,weight
1001006498082934784,Azione - Italia Viva,25
1001950439569584128,Movimento 5s,17
100396713,Movimento 5s,105
1004874680,Azione - Italia Viva,78
1005980574,Azione - Italia Viva,66
1006296722,Fratelli d'Italia,7
1006400634,Movimento 5s,17
1006559095741210625,Partito Democratico,7
1010600056582492160,Partito Democratico,12
1012718378,Alleanza Verdi Sinistra,10
1015440260,Partito Democratico,19
1015965682742284288,Azione - Italia Viva,36
1019202374773112832,Movimento 5s,123
1022555336463532032,Azione - Italia Viva,25
1023151363956633600,Azione - Italia Viva,18
1024976264,Fratelli d'Italia,1377
1025345033384411137,Fratelli d'Italia,7
1025657582185271296,Azione - Italia Viva,112
1025767333988581376,Azione - Italia Viva,92
1028568698133655552,Azione - Italia Viva,7
1029026187778170880,Partito Democratico,57
1030124031733911553,Fratelli d'Italia,14
1032691285,Azione - Italia Viva,20
1035648571163521024,Partito Democratico,6
1035805719789010945,Azione - Italia Viva,13
1036982799549513728,Movimento 5s,27
1039138658,Azione - Italia Viva,52
1039152966,Azione - Italia Viva,26
1040471648,Azione - Italia Viva,13
1040828736,Fratelli d'Italia,6
1042624093,Azione - Italia Viva,73
1043099688,Partito Democratico,8
1043435909302112256,Azione - Italia Viva,7
1045342676311314433,Partito Democratico,5
1046742919703646208,Azione - Italia Viva,12
1047147926,Azione - Italia Viva,70
1048267423,Partito Democratico,6
1050079438812135425,Partito Democratico,10
1050589128,Azione - Italia Viva,35
1050753675445104640,Lega,46
1051906012104540032,Lega,39
1053136717,Partito Democratico,6
1054662974,Azione - Italia Viva,13
1055494906133839874,Azione - Italia Viva,17
1058864625557610496,Partito Democratico,4
1059361525109010432,Azione - Italia Viva,60
1059361525109010433,Azione - Italia Viva,343
1059881101,Forza Italia,9
1060592551005167617,Partito Democratico,6
1060828194,Azione - Italia Viva,4
1061317800,Azione - Italia Viva,19
1062583370,Fratelli d'Italia,121
1065698616,Azione - Italia Viva,43
1073355817,Azione - Italia Viva,29
1079226488,Azione - Italia Viva,14
1083821982024716290,Azione - Italia Viva,53
1084786383414272000,Azione - Italia Viva,20
1085291572588097540,Azione - Italia Viva,12
1086700214,Azione - Italia Viva,8
1088872705,Azione - Italia Viva,17
1089519374782877698,Azione - Italia Viva,8
1091990374401359872,Azione - Italia Viva,23
1092526333735907328,Azione - Italia Viva,6
1094396285069807616,Lega,24
1096445798286573568,Azione - Italia Viva,50
1097175085742469120,Azione - Italia Viva,63
1101425479469416448,Partito Democratico,5
1102225854317383681,Azione - Italia Viva,15
1103360481341902854,Fratelli d'Italia,53
1105580412,Fratelli d'Italia,7
1106146124606464000,Azione - Italia Viva,8
1111225376,Azione - Italia Viva,105
1111697667946659840,Movimento 5s,117
1112397484058427393,Lega,9
1113363675530895362,Partito Democratico,11
1114113361833353216,Azione - Italia Viva,11
1114648990816120832,Partito Democratico,4
