user,party1,party2
1035648571163521024,Azione - Italia Viva,Partito Democratico
1050753675445104640,Fratelli d'Italia,Lega
1062583370,Fratelli d'Italia,Lega
1065698616,Partito Democratico,Azione - Italia Viva
229160327,Lega,Fratelli d'Italia
29442185,Partito Democratico,Azione - Italia Viva
331223753,Movimento 5s,Partito Democratico
382542556,Forza Italia,Azione - Italia Viva
424084271,Fratelli d'Italia,Lega
507118418,Fratelli d'Italia,Lega
540066448,Azione - Italia Viva,Partito Democratico
820489519,Fratelli d'Italia,Lega
