user,party1,party2
1025767333988581376,Partito Democratico,Azione - Italia Viva
1035648571163521024,Azione - Italia Viva,Partito Democratico
1050753675445104640,Fratelli d'Italia,Lega
1065698616,Partito Democratico,Azione - Italia Viva
1094396285069807616,Fratelli d'Italia,Lega
279178016,Fratelli d'Italia,Forza Italia
2999929357,Alleanza Verdi Sinistra,Partito Democratico
3547880116,Alleanza Verdi Sinistra,Partito Democratico
360830746,Lega,Azione - Italia Viva
85143600,Partito Democratico,Azione - Italia Viva
962692920171270144,Azione - Italia Viva,Partito Democratico
