user,party1,party2
1025767333988581376,Azione - Italia Viva,Partito Democratico
1062583370,Fratelli d'Italia,Lega
1103360481341902854,Fratelli d'Italia,Azione - Italia Viva
1465578344804761603,Partito Democratico,Alleanza Verdi Sinistra
1518885570461712384,Forza Italia,Fratelli d'Italia
1519382878815199233,Forza Italia,Lega
229160327,Lega,Fratelli d'Italia
279178016,Forza Italia,Fratelli d'Italia
2955233225,Fratelli d'Italia,Lega
382542556,Forza Italia,Azione - Italia Viva
424084271,Fratelli d'Italia,Lega
507118418,Fratelli d'Italia,Lega
586680141,Azione - Italia Viva,Partito Democratico
820489519,Fratelli d'Italia,Lega
